name,address,country,state,causes,website,mission,description
Heifer International,"1 World Avenue , Little Rock AR 72202 , USA",United States of America,Arkansas,Animals&Clean Water&Coronavirus&Disaster Relief&Health&Natural Disasters&Society,http://www.heifer.org/,"Heifer International's mission is to end hunger and poverty and to care for the Earth using gifts of livestock, seeds, trees and training in sustainable agriculture community development projects to help millions of people become self-reliant. Since 1944, Heifer has helped transform the lives of more than 18.5 million families (94.5 million people) by giving them gifts of cows, goats and other livestock.
 Along with the animals, families receive training in animal care and conservation for environmentally sound agricultural development. ",$25 provides 1 share of water buffalo
Brigade Of Mercy,"6608 Tucker Ave , Mc Lean VA 22101 , USA",United States of America,Virginia,Society,http://www.brigadeofmercy.org,"Provide charitable humanitarian relief to the destitute, homeless, orphans, refugees, and victims of war and other calamities.",
Thurgood Marshall College Fund,"901 F St NW Ste 700  Suite 300 , Washington DC 20004-1436 , USA",United States of America,District of Columbia,Education&Educational Programs&Society&Youth Development,http://www.thurgoodmarshallcollegefund.org/,"Our mission is to increase access, retention and graduation rates of students attending our member schools, identify and prepare member schools’ students who have significant leadership potential, and create a pipeline for employers of highly-qualified member-schools, students and alumni.",
Girls Leadership Organized Women (GLOW) - Boston,"113 Pleasant St Apt 5 , Dorchester MA 02125-1532 , USA",United States of America,Massachusetts,Education&Educational Programs&Society&Youth Development,http://www.bostonglow.org,Boston GLOW fosters opportunities for women and girls of all ages to become empowered community leaders and active world citizens.,
Rescue City ,"8700 25th Ave  Apt 2U , Brooklyn NY 11214 , USA",United States of America,New York,Animals&Veterinary Services,http://www.rescuecity.nyc,"Rescue City is a no-kill, non-profit pet rescue, rehabilitation, and adoption organization. ",
LARIMER COUNTY SEARCH & RESCUE INC,"1303 N SHIELDS ST , FORT COLLINS CO 80524-1014 , USA",,Colorado,United States of America,https://www.larimercountysar.org/,"""SO THAT OTHERS MAY LIVE...""",
"Trees for the Future, Inc.","P.O. Box 7027 , Washington DC 20907 , USA",United States of America,District of Columbia,Disaster Relief&Environment&Natural Disasters&Society,http://trees.org/,"Around the world, modern and industrialized farming practices are destroying the environment—and, at the same time, failing to provide reliable income and nourishment for the farmers we all depend on to survive. At Trees for the Future (TREES), we recognize that unsustainable land use is the root cause of our most pressing challenges. We confront these challenges by serving the people at the heart of our global food systems: farmers and their families. As a global leader in agroforestry training for over 30 years, TREES provides hands-on, immersive education, skill building, and support, encouraging farmers to work with nature, not against it. ",$0.25 plants 1 tree
SeaTrees,"PO Box 3058 , Manhattan Beach  CA 90266 , USA",United States of America,California,Environment&Nature Conservation&Ocean,https://sea-trees.org/,"SeaTrees protects and restores coastal ecosystems globally, to protect ocean health and fight climate change. The organization works with communities around the world to plant and protect mangrove and kelp forests, seagrass, coral reefs, and ridge-to-reef watersheds. The regeneration and protection of these ecosystems provide critical habitat for countless species, sustainable long-term employment for local communities, and protect those communities from storm surges and sea-level rise.","$1 plants 1 mangrove tree in Mida Creek, Kenya"
The Leukemia & Lymphoma Society,"3 International Drive  Suite 200 , Rye Brook NY 10573 , USA",United States of America,New York,Cancer&Health,https://www.lls.org/,"The Leukemia and Lymphoma Society (LLS) is a global leader in the fight against cancer. 
The LLS mission: Cure leukemia, lymphoma, Hodgkin's disease and myeloma, and improve the quality of life of patients and their families.  ","$25 Helps fund an episode of The Bloodline with LLS, a free podcast series that provides  information to patients and caregivers. 1 Podcast episode used for Patient Support"
Environmental Defense Fund,"257 Park Ave S , New York NY 10010 , USA",United States of America,New York,Education&Environment&Nature Conservation,http://www.edf.org/,"Environmental Defense Fund is a leading national nonprofit organization representing more than 700,000 members. Since 1967, we have linked science, economics and law to create innovative, equitable and cost-effective solutions to society's most urgent environmental problems.",
Invisible Girl Project,"PO Box 99068 , Raleigh NC 27624 , USA",United States of America,North Carolina,Clean Water&Coronavirus&Disaster Relief&Health&Justice&Natural Disasters&Society&Women & Girls,http://www.invisiblegirlproject.org,"Invisible Girl Project's mission is to END GENDERCIDE (the systematic killing of females) in India. Invisible Girl Project raises global awareness concerning the loss of female lives in India, pursues justice for lives lost, empowers women, and assists Indian partners in the rescue of and care for vulnerable Indian girls.",
True Colors,"PO Box 231798  Suite 201 A , Hartford CT 06123-1798 , USA",United States of America,Connecticut,Justice&LGBTQ+&Society&Youth Development,http://www.ourtruecolors.org,True Colors works to create a world where youth of all genders and orientations are valued and affirmed. Our programs include one-on-one and group mentoring; school based youth advocacy and leadership development; the production of the largest LGBTQIA youth conference in the country; professional cultural competency training; and the management of a state wide task force focused on the needs of LGBTQI youth in out-of-home care.,
Discovery - Rise (Save the Children),USA,,,United States of America,http://www.discoveryrise.org/en-US,"Join Discovery's commitment to improve social mobility through access to basic human needs, with a focus on education programs.",
One Solution Foundation,"5112 S Kimbark Ave Apt 1 , Chicago IL 60615 , USA",United States of America,Illinois,Education,http://www.onesolutionglobal.org/,"We believe that there is a simple solution to many of the world’s most challenging and persistent problems. That solution is an understanding of how all global challenges originate in the human mind and can be directly addressed in the human mind. Change the thinking that drives global issues, and we can actually begin to solve our challenges, rather than dealing with the symptoms",
UNICEF USA,"125 MAIDEN LANE 10TH FLR , NEW YORK NY 10038-4713 , USA",United States of America,New York,Clean Water&Coronavirus&Disaster Relief&Health&Natural Disasters&Society,http://www.unicefusa.org/,"UNICEF's mission is to help very child thrive, all over the world. Over eight decades, it has built an unprecedented global support system for the world’s children. UNICEF relentlessly works day in and day out to deliver the essentials that give every child an equitable chance in life: health care and immunizations, safe water and sanitation, nutrition, education, emergency relief and more. ",
Golden Hour Festival Fund,"2100 Abbot Kinney Blvd , Venice CA 90291 , USA",,California,United States of America,https://open.spotify.com/playlist/1uqHylr7sadOZbQCVbkyjA,Donations made to The Golden Hour Fund will be split evenly between Baby2Baby and Crew Nation. ,
"Team Red, White & Blue","PO Box 744947 , Atlanta GA 30374-4947 , USA",United States of America,Georgia,Military & Veterans&Society&Sports and Recreation,http://www.teamrwb.org/,"Every year, more than 250,000 active duty service members transition out of the military, joining the 3.5 million post-9/11 veterans already living in communities nationwide. They face many challenges including isolation, weight gain, lack of purpose, and other health issues.",
Floyd Felines And Friends,"PO Box 2364 , Rome GA 30164 , USA",United States of America,Georgia,Animals&Wildlife,http://floydfelines.org/,Floyd Felines is registered 501c3 non-profit organization dedicated to saving “at risk” cats and kittens in our local and surrounding areas.,
LIFT,"999 N Capitol St NE Ste 310 , Washington DC 20002 , USA",United States of America,District of Columbia,Employment&Society,http://www.liftcommunities.org/,LIFT’s mission is to help community members achieve economic stability and well-being. They are working to establish a new standard for holistic and enduring solutions in our country’s fight against poverty.,
National Breast Cancer Foundation,"7460 Warren Pkwy Ste 150  Suite 300 , Frisco TX 75034-4269 , USA",United States of America,Texas,Cancer&Disease&Disorders&Drug Rehabilitation&Health,http://www.nbcf.org/,"National Breast Cancer Foundation's (NBCF) mission is to save lives through early detection and to provide mammograms for those in need.Our mission includes increasing awareness through education, providing diagnostic breast care services for those in need, and providing nurturing support services.",
Carolina Abortion Fund,"PO Box 51534 , Durham NC 27717 , USA",United States of America,North Carolina,Environment&Health,http://www.carolinaabortionfund.org,"The Carolina Abortion Fund believes that everyone should be able to exercise reproductive self-determination, regardless of their income. Through small grants, we enable those with demonstrated need to overcome financial barriers to accessing abortion services in North Carolina. Founded in 2011 by a group of committed volunteers, the Carolina Abortion Fund is a grassroots feminist organization dedicated to reproductive justice for all communities in North Carolina.",
Planned Parenthood Of Southwest And Central Florida,"736 Central Ave , Sarasota FL 34236 , USA",United States of America,Florida,Health,http://www.myplannedparenthood.org,"The mission of Planned Parenthood of Southwest and Central Florida is to provide affordable access to comprehensive reproductive healthcare and accurate health information through patient care,education and advocacy.",
Family Promise Of Forsyth County,"PO BOX 3305 , CUMMING GA 30028-6518 , USA",United States of America,Georgia,Housing&Society,https://www.fpforsyth.org/,n/a,
Partners In Health,"800 Boylston Street, Suite 300 , Boston MA 02199 , USA",United States of America,Massachusetts,Disease&Disorders&Drug Rehabilitation&Health&Hospitals&Society,http://www.pih.org/,"Our mission is a preferential option for the poor in health care. By establishing long-term relationships with sister organizations based in settings of poverty, Partners In Health strives to achieve two overarching goals: to bring benefits of modern medical science to those most in need of them and to serve as an antidote to despair. We draw on the resources of the world's leading medical and academic institutions and on the lived experience of the world's poorest and sickest communities. At its root, our mission is both medical and moral. It is based on solidarity, rather than charity alone. When our patients are ill and have no access to care, our team of health professionals, scholars, and activists will do whatever it takes to make them well- just as we would do if a member of our own families, or we ourselves, were ill.",
Operation Underground Railroad,"PO BOX 57338 , Salt Lake City UT 84157 , USA",United States of America,Utah,Art&Children & Family&Criminal Justice&Domestic Violence&Justice&Museums&Society&Women & Girls,http://www.OURrescue.org/,Our mission as an organization is to rescue children from sex slavery and dismantle the criminal networks abusing them.,
Misericordia Home,"6300 North Ridge Ave , Chicago IL 60660 , USA",United States of America,Illinois,Society,http://www.misericordia.com,"Misericordia offers a community of care that maximizes potential for persons with mild to profound developmental disabilities, many of whom are also physically challenged. By serving society’s most vulnerable citizens, Misericordia also serves the families who want the best for them, yet cannot provide it at home. Through a spectrum of residential options on its 31-acre Chicago campus and in the community, and with a wide variety of programs, Misericordia currently serves more than 600 children and adults from diverse racial, religious and socio-economic backgrounds. Twenty percent of our residents either come from poverty families or have no families and are wards of the state.",
Living Journeys,"PO Box 2024 , Crested Butte CO 81224 , USA",United States of America,Colorado,Cancer&Health,http://www.livingjourneys.org,"Living Journeys provides financial assistance, emotional support and enrichment programs to Gunnison Valley residents affected by cancer.",
Climate Solutions,"1402 3rd Ave Ste 1200 , Seattle WA 98101-2110 , USA",United States of America,Washington,Environment&Nature Conservation,http://www.climatesolutions.org/,"Climate Solutions’ mission is to accelerate practical and profitable solutions to global warming by galvanizing leadership, growing investment, and bridging divides.",
Active Minds,"2001 S Street NW, Suite 700 , Washington DC 20009 , USA",United States of America,District of Columbia,Health&Mental Health,http://www.activeminds.org/,"Active Minds empowers young adults to speak openly about mental health in order to educate others and encourage help-seeking behaviors. We are changing the culture around mental health on campuses and in the community by providing information, leadership opportunities and advocacy training to the next generation. Contact us at hello@activeminds.org",
St Kilda Mums,"14 Winterton Rd , Clayton, Vic N/A 3168 , Australia",Australia,,Society,http://www.stkildamums.org/,"We exist to provide safety, opportunity and dignity for children and families in Victoria.",
Yoga Gives Back,"400 S Burnside Ave Apt 11B , Los Angeles CA 90036-5439 , USA",,California,United States of America,http://yogagivesback.org/,Our mission is to mobilize the global yoga community to empower women and children in India to build sustainable livelihoods.,
American Society for the Prevention of Cruelty to Animals (ASPCA),"520 8th Ave Fl 7 , New York NY 10018-4195 , USA",United States of America,New York,Animals&Society&Veterinary Services,http://www.aspca.org,"For over 150 years, the ASPCA has worked tirelessly to put an end to animal abuse and neglect. We are a national leader in the areas of rescue, adoption and welfare, and your tax-deductible donation will help fight cruelty and make a life-changing difference for animals across America. Thank you for making the ASPCA and the animals we serve a part of your life.",$25 can help feed 1 rescued dog or cat for almost a month
Rock the Vote,"655 15th St NW, Ste 800 , Washington DC 20005-5705 , USA",United States of America,District of Columbia,Education&Educational Programs&Justice&Society,http://www.rockthevote.com/,"Rock the Vote engages young people in our democracy and builds their political power by registering, educating and turning them out to vote, by forcing the candidates to campaign to them, and by making politicians pay attention to youth and the issues they care about once in office. We use music, popular culture, new technologies and old fashioned grassroots organizing to engage and mobilize young people to participate in every election, and provide the information and tools they need to do so.  And we amplify the actions of those young people who step up to claim their voice in the process in order to create political and social change.",
Malala Fund,"PO Box 73767 , Washington DC 20056-3767 , USA",United States of America,District of Columbia,Education,https://www.malala.org/,Malala Fund breaks down the barriers preventing more than 130 million girls around the world from going to school.,
Still I Run,"3376 Sagecrest Dr , Hudsonville MI 49426 , USA",United States of America,Michigan,Society&Sports and Recreation,http://stillirun.org,"To promote the benefits of running for mental health, defeat the stigma through running, and create a community for mental health road warriors.",
Fashion Makes Change,USA,,,United States of America,https://www.fashionmakeschange.org/,"Fashion Makes Change, a project of Rockefeller Philanthropy Advisors, a 501(c)(3), provides actionable solutions that catalyze collective action, build resilient communities and reverse the climate crises. Recognizing we all have a role to play, Fashion Makes Change aligns industry, non-profits, investors and customers in the transition to a sustainable world.",
Marty Hennessy Inspiring Children Foundation,"1101 COLORADO ST , BOULDER CITY NV 89005-2622 , USA",United States of America,Nevada,Art&Children & Family&Education&Employment&Food & Nutrition&Health&Justice&STEAM&Science&Science Research&Society&Sports and Recreation&Women & Girls,https://inspiringchildren.org/,"The Foundation's goal is to provide the ultimate environment for a child to become their best in all areas of their life, including academic, athletic, interpersonal skills, leadership, as a mentor, and someone willing to be mentored. They hope to arm children with a variety of ways to grow intellectually, spiritually, physically, and in their relationships with themselves and others.",
Street Hope Foundation,"10924 Clovermill Cir , Raleigh NC 27617 , USA",United States of America,North Carolina,Religion&Society,http://www.streethopefoundation.org,"Our Mission: Street Hope Foundation exists to offer hope, empower women, and change lives. Street Hope serves women trapped in extreme poverty, unhealthy relationships and trafficking including survival prostitution, in order to provide dignified opportunities to participants, so that their lives, families, and communities are transformed. ",
Pledgeling Human Rights Fund,"1638 Abbot Kinney Blvd, 3rd floor , Venice CA 90291 , USA",,California,United States of America,https://www.pledgeling.org,"Support Human Rights: In the past this fund has supported organizations working to end human trafficking, like The Freedom Story.",
Humane Society for Seattle-King Co,"13212 SE Eastgate Way , Bellevue WA 98005 , USA",United States of America,Washington,Animals&Pets&Veterinary Services,http://www.seattlehumane.org/,"Seattle Humane promotes the human-animal bond by saving and serving pets in need, regardless of age, ability, circumstance or geography.",
Long Island Golden Retriever Rescue,"PO Box 566 , Plainview NY 11803-0566 , USA",United States of America,New York,Animals,http://WWW.LIGRR.ORG,"LIGRR INC IS DEDICATED TO FINDING NEW HOMES FOR ABANDONED, ABUSED, NEGLECTED AND UNWANTED GOLDEN RETRIEVERS AND PROVIDING VETERINARY CARE FOR THE SICK AND INJURED.",
The Maddie Potts Foundation,"6 Fairway Dr. , Richmond  RI 02832 , USA",United States of America,Rhode Island,Society,http://Www.maddiepottsfoundation.org,"The Maddie Potts Foundation was established in November of 2017, less than2 months after Maddie's sudden death on the soccer field of an unknown brain aneurysm. Thefoundation was founded in order to carry on Maddie's legacy of kindness, compassion, hard work,inclusive leadership and perseverance, aka Maddie Mentality. We look forward to giving back tothe community each year with scholarships, facility upgrades and opportunities for individuals ​with disabilities and eventually help change the statistics of acute death and disability of brain aneurysms through funding and research",
Colorado Pet Pantry,"PO Box 323 , Boulder CO 80306-0323 , USA",United States of America,Colorado,Animals,http://www.coloradopetpantry.org,"The Colorado Pet Pantry will temporarily feed Colorado pets, allowing families to increase their ability to care for pets with the goal of keeping them out of shelters and with their families.",
Rosies Foundation,"8541 Washington Blvd. , Culver City CA 90232 , USA",United States of America,California,Society,http://RosiesFoundation.org,Rosies Foundation's mission is to create opportunities to activate and employ diverse abilities.,
"Strong Women, Strong Girls","89 South Street, LL02 , Boston MA 02111 , USA",United States of America,Massachusetts,Children & Family&Society&Youth Development,http://www.swsg.org,"Strong Women, Strong Girls (SWSG) empowers girls to imagine a broader future through a curriculum grounded on female role models delivered by college women mentors, who are themselves mentored by professional women. Our vision is that all girls will realize their inner strengths to dream and do. We serve the Pittsburgh and Boston areas.",
International Rescue Committee,"122 E 42nd St , New York NY 10168 , USA",United States of America,New York,Clean Water&Coronavirus&Disaster Relief&Health&Natural Disasters&Refugee Services&Society,http://www.rescue.org/,"The International Rescue Committee (IRC) responds to the world's worst humanitarian crises and helps people whose lives and livelihoods are shattered by conflict and disaster to survive, recover and gain control of their futures. At work in over 40 countries and 25 U.S. cities to restore safety, dignity and hope, the IRC leads the way from harm to home. In 2021, the IRC was able to reach 31.5 million people through assistance via healthcare, education, clean water, protection and emergency cash, all while keeping in mind global challenges such as the COVID-19 pandemic and the climate change crisis.",
Sea Shepherd Conservation Society,"PO Box 8628 , Alexandria VA 22306 , USA",United States of America,Virginia,Animals&Environment&Nature Conservation&Wildlife,http://www.seashepherd.org/,"Established in 1977, Sea Shepherd Conservation Society (SSCS) is an international non-profit, marine wildlife conservation organization. Our mission is to end the destruction of habitat and slaughter of wildlife in the world's oceans in order to conserve and protect ecosystems and species.",
Pure Hearts Of Georgia,"812 Autry Oak Ct , Alpharetta GA 30022 , USA",,Georgia,United States of America,https://www.pureheartsga.org/,"Pure Hearts of Georgia is an organization formed by families of special needs children with the aim to encourage and empower every child with special needs by providing an opportunity to learn and polish their skills and talents and also provide a platform to showcase their talent and help them be more confident and successful, with all the love and acceptance they deserve.",
Life Guard Ecumenical Foundation A New Jersey Non Profit,"PO Box 6385 , Fair Haven NJ 07704 , USA",,New Jersey,United States of America,http://www.lifeguardnj.org,"Life Guard Ecumenical Foundation (LGEF) is a nonprofit, 501(c)(3) organization founded in 2009 by a group of neighbors in Fair Haven, NJ. Their mission is to raise awareness of those around us – fellow neighbors – that are in need of assistance.",
Sea Turtle Conservancy,"4581 NW 6th St, Suite A , Gainesville FL 32609 , USA",United States of America,Florida,Animals&Wildlife,http://www.conserveturtles.org,"It is the mission of Sea Turtle Conservancy to ensure the survival of sea turtles within the Caribbean, Atlantic and Pacific through research, education, training, advocacy and protection of the natural habitats upon which they depend.",
Free Arts NYC,"1431 Broadway 7th Floor , New York NY 10018-1970 , USA",United States of America,New York,Art&Children & Family&Domestic Violence&Education&Justice&Society&Women & Girls,http://freeartsnyc.org/,"FREE ARTS NYC empowers underserved youth through art and mentoring programs to develop their creativity, confidence, and skills to succeed.",
Outfest,"1439 N. Highland Ave.  PMB 1090 , Los Angeles CA 90028 , USA",United States of America,California,Art&Justice&LGBTQ+&Visual Arts,http://www.outfest.org/,"Outfest protects our past, showcases our present and nurtures our future by fostering artistic expression of gender, sexuality, and LGBTQ culture and its transformative social impact on the world. Their mission aims to create visibility to diverse LGBTQIA+ stories and empowers storytellers, building empathy to drive meaningful social change. ",
East Bay SPCA,"8323 Baldwin St , Oakland CA 94621-1925 , USA",United States of America,California,Animals,http://eastbayspca.org/,"The East Bay SPCA is committed to the welfare of cats and dogs in the communities we serve. We strive to eliminate animal cruelty, neglect and overpopulation by providing programs and education that support people and companion animals.",
Lift Brigade,"2903 Dunbar Ct , Cedar Park TX 78613 , USA",United States of America,Texas,Children & Family&Society,https://www.liftbrigade.org,"Lift Brigade® helps children, and their families, dealing with cancer and other life-threatening diagnoses better cope with their treatment.",
Easter Seals Massachusetts,"484 Main Street, Suite 600 , Worcester MA 01608 , USA",United States of America,Massachusetts,Employment&Society&Youth Development,http://www.eastersealsma.org,"Easter Seals provides services to ensure that children and adults with disabilities have equal opportunities to live, learn, work and play.",
Bucks For Kids,"PO BOX 1711 , Doylestown PA 18901 , USA",United States of America,Pennsylvania,Society,http://www.bucksforkids.org,"Bucks for Kids is the sole source of individual funding for kids in Foster Care.
Funding is for only Bucks County Children.",
Universal Hip Hop Museum,"PO Box 6001 , Bronx NY 10451 , USA",United States of America,New York,Art&Education&K-12&Museums,http://www.uhhm.org,"The Universal Hip Hop Museum's mission is to teach, engage and inspire audiences around the world through the creativity and power of Hip Hop Culture. ",
